Date,000001.SS SSE Composite Index (China),^AEX AEX (Netherlands),^ATX ATX (Austria),^AXJO S&P/ASX 200 (Australia),^BFX BEL 20 (Belgium),^BSESN BSE Sensex (India),^BVSP Bovespa Index (Brazil),^FCHI CAC 40 (France),^GDAXI DAX (Germany),^GSPC S&P 500 (United States),^GSPTSE S&P/TSX Composite Index (Canada),^HSI Hang Seng Index (Hong Kong),^IBEX IBEX 35 (Spain),^ISEQ ISEQ 20 (Ireland),^IXIC NASDAQ Composite (United States),^JKSE Jakarta Composite Index (Indonesia),^KS11 KOSPI (South Korea),^MERV MERVAL (Argentina),^MXX IPC (Mexico),^N225 Nikkei 225 (Japan),^NSEBANK NSE Bank Index (India),^NSEI Nifty 50 (India),^NYA NYSE Composite (United States),^SET.BK SET Index (Thailand),^SSMI SMI (Switzerland),^STI Straits Times Index (Singapore),^TWII Taiwan Weighted Index (Taiwan)
2016-01-29,2737.60009765625,431.2799987792969,2162.419921875,5005.5,3486.219970703125,24870.689453125,40406.0,4417.02001953125,9798.1103515625,1940.239990234375,12822.099609375,19683.109375,8815.791015625,6343.240234375,4613.9501953125,4615.1630859375,1912.06005859375,11306.0,43630.76953125,17518.30078125,15560.9697265625,7563.5498046875,9632.7001953125,1300.97998046875,8319.8095703125,2629.110107421875,8080.5693359375
2016-02-01,2688.85400390625,429.67999267578125,2140.9599609375,5043.60009765625,3488.530029296875,24824.830078125,40570.0,4392.330078125,9757.8798828125,1939.3800048828125,12674.400390625,19595.5,8788.4912109375,6448.240234375,4620.3701171875,4624.634765625,1924.8199462890625,11251.900390625,43630.76953125,17865.23046875,15560.9697265625,7555.9501953125,9616.6904296875,1297.3399658203125,8310.990234375,2602.409912109375,8156.92919921875
2016-02-02,2749.570068359375,420.6499938964844,2129.860107421875,4993.2998046875,3434.800048828125,24539.0,38596.0,4283.990234375,9581.0400390625,1903.030029296875,12442.2998046875,19446.83984375,8528.69140625,6355.83984375,4516.9501953125,4587.43505859375,1906.5999755859375,11074.7998046875,43092.48828125,17750.6796875,15560.9697265625,7455.5498046875,9413.7802734375,1285.300048828125,8196.990234375,2579.22998046875,8131.20947265625
2016-02-03,2739.2470703125,416.2099914550781,2092.090087890625,4876.7998046875,3375.429931640625,24223.3203125,39589.0,4226.9599609375,9434.8203125,1912.530029296875,12593.0,18991.58984375,8314.4912109375,6228.60009765625,4504.240234375,4596.10791015625,1890.6700439453125,11121.400390625,43257.5390625,17191.25,15560.9697265625,7361.7998046875,9495.2099609375,1291.77001953125,8123.740234375,2550.739990234375,8062.97216796875
2016-02-04,2781.02294921875,417.94000244140625,2113.89990234375,4980.39990234375,3348.419921875,24338.4296875,40822.0,4228.52978515625,9393.3603515625,1915.449951171875,12774.5,19183.08984375,8468.0908203125,6151.31982421875,4509.56005859375,4665.81689453125,1916.260009765625,11422.0,43751.9296875,17044.990234375,15560.9697265625,7404.0,9534.2998046875,1297.1099853515625,8003.39990234375,2558.489990234375,8062.97216796875
2016-02-05,2763.491943359375,413.94000244140625,2129.93994140625,4976.2001953125,3305.68994140625,24616.970703125,40592.0,4200.669921875,9286.23046875,1880.050048828125,12764.0,19288.169921875,8499.4912109375,6075.7099609375,4363.14013671875,4798.94580078125,1917.7900390625,11400.2998046875,43229.671875,16819.58984375,15560.9697265625,7489.10009765625,9390.330078125,1306.2900390625,7960.1298828125,2623.2099609375,8062.97216796875
2016-02-08,2763.491943359375,400.6099853515625,2026.4000244140625,4975.39990234375,3191.550048828125,24287.419921875,40592.0,4066.31005859375,8979.3603515625,1853.43994140625,12535.400390625,19288.169921875,8122.091796875,5749.93994140625,4283.75,4798.94580078125,1917.7900390625,11400.2998046875,42774.8515625,17004.30078125,15046.625,7387.25,9231.330078125,1307.5699462890625,7759.2099609375,2623.2099609375,8062.97216796875
2016-02-09,2763.491943359375,392.5799865722656,1972.030029296875,4832.10009765625,3168.2900390625,24020.98046875,40592.0,3997.5400390625,8879.400390625,1852.2099609375,12282.7001953125,19288.169921875,7927.59228515625,5722.33984375,4268.759765625,4768.625,1917.7900390625,11400.2998046875,42399.19140625,16085.4404296875,15046.625,7298.2001953125,9187.7900390625,1303.9599609375,7583.27001953125,2623.2099609375,8062.97216796875
2016-02-10,2763.491943359375,394.6300048828125,2001.5999755859375,4775.7001953125,3220.139892578125,23758.900390625,40377.0,4061.199951171875,9017.2900390625,1851.8599853515625,12185.7001953125,19288.169921875,8143.69189453125,5894.7099609375,4283.58984375,4732.48291015625,1917.7900390625,11346.7998046875,42535.73828125,15713.3896484375,15046.625,7215.7001953125,9176.7197265625,1304.739990234375,7731.93017578125,2582.10009765625,8062.97216796875
2016-02-11,2763.491943359375,382.6099853515625,1957.050048828125,4821.10009765625,3130.760009765625,22951.830078125,39318.0,3896.7099609375,8752.8701171875,1829.0799560546875,12087.400390625,18545.80078125,7746.2919921875,5738.81005859375,4266.83984375,4775.85986328125,1861.5400390625,11010.900390625,42359.26171875,15713.3896484375,15046.625,6976.35009765625,9029.8798828125,1280.739990234375,7496.6201171875,2538.280029296875,8062.97216796875
2016-02-12,2763.491943359375,391.8599853515625,2033.47998046875,4765.2998046875,3203.659912109375,22986.119140625,39808.0,3995.06005859375,8967.509765625,1864.780029296875,12381.2001953125,18319.580078125,7920.7919921875,5793.41015625,4337.509765625,4714.39306640625,1835.280029296875,11276.400390625,42416.44140625,14952.6103515625,15046.625,6980.9501953125,9229.6796875,1276.489990234375,7656.60009765625,2539.949951171875,8062.97216796875
2016-02-15,2746.196044921875,403.9599914550781,2099.27001953125,4843.5,3298.590087890625,23554.119140625,40093.0,4115.25,9206.83984375,1864.780029296875,12381.2001953125,18918.140625,8179.19189453125,5954.68994140625,4337.509765625,4740.72607421875,1862.199951171875,11454.5,43205.91015625,16022.580078125,15046.625,7162.9501953125,9229.6796875,1288.4000244140625,7848.330078125,2607.89990234375,8066.4912109375
2016-02-16,2836.571044921875,403.2699890136719,2084.7099609375,4910.0,3296.22998046875,23191.970703125,40948.0,4110.66015625,9135.1103515625,1895.5799560546875,12555.0,19122.080078125,8137.591796875,5922.31005859375,4435.9599609375,4745.00390625,1888.300048828125,11553.7001953125,43100.3203125,16054.4296875,15046.625,7048.25,9375.3896484375,1289.3599853515625,7813.7900390625,2644.580078125,8212.05078125
2016-02-17,2867.337890625,414.75,2162.840087890625,4882.10009765625,3376.320068359375,23381.869140625,41631.0,4233.47021484375,9377.2099609375,1926.8199462890625,12867.2001953125,18924.5703125,8364.8916015625,6111.5,4534.06005859375,4765.5068359375,1883.93994140625,12059.0,43585.23046875,15836.3603515625,15046.625,7108.4501953125,9532.2802734375,1288.469970703125,7946.18994140625,2613.7900390625,8214.23046875
2016-02-18,2862.89306640625,413.7900085449219,2114.139892578125,4992.0,3344.56005859375,23649.220703125,41478.0,4239.759765625,9463.6396484375,1917.8299560546875,12931.400390625,19363.080078125,8295.3916015625,6130.0400390625,4487.5400390625,4778.7939453125,1908.8399658203125,11991.099609375,43516.66015625,16196.7998046875,15046.625,7191.75,9504.98046875,1294.5899658203125,7916.60986328125,2657.570068359375,8314.650390625
2016-02-19,2860.02099609375,411.9599914550781,2124.840087890625,4952.7998046875,3330.159912109375,23709.150390625,41543.0,4223.0400390625,9388.0498046875,1917.780029296875,12813.400390625,19285.5,8194.19140625,6125.3701171875,4504.43017578125,4697.56005859375,1916.239990234375,11826.099609375,43375.30859375,15967.169921875,14344.033203125,7210.75,9485.9599609375,1320.18994140625,7863.35986328125,2656.8701171875,8325.0205078125
2016-02-22,2927.175048828125,420.69000244140625,2177.820068359375,5001.2001953125,3376.429931640625,23788.7890625,43235.0,4298.7001953125,9573.58984375,1945.5,12845.599609375,19464.08984375,8386.9912109375,6162.2099609375,4570.60986328125,4708.6201171875,1916.3599853515625,12525.5,43546.71875,16111.0498046875,14344.033203125,7234.5498046875,9616.3203125,1320.18994140625,7961.490234375,2660.64990234375,8326.66015625
2016-02-23,2903.3310546875,415.42999267578125,2134.989990234375,4979.60009765625,3344.590087890625,23410.1796875,42521.0,4238.419921875,9416.76953125,1921.27001953125,12763.400390625,19414.779296875,8267.5908203125,6109.2001953125,4503.580078125,4654.05419921875,1914.219970703125,12533.2998046875,43216.578125,16052.0498046875,14344.033203125,7109.5498046875,9494.3203125,1325.7900390625,7807.009765625,2672.070068359375,8334.6201171875
2016-02-24,2928.89599609375,407.5199890136719,2100.280029296875,4875.0,3279.72998046875,23088.9296875,42085.0,4155.33984375,9167.7998046875,1929.800048828125,12740.2998046875,19192.44921875,8013.69189453125,6062.330078125,4542.60986328125,4657.72216796875,1912.530029296875,12627.099609375,42744.91015625,15915.7900390625,14344.033203125,7018.7001953125,9506.0703125,1331.9300537109375,7689.56005859375,2619.9599609375,8282.8408203125
2016-02-25,2741.2451171875,415.3800048828125,2120.0400390625,4881.2001953125,3338.070068359375,22976.0,41888.0,4248.4501953125,9331.48046875,1951.699951171875,12753.599609375,18888.75,8215.5908203125,6147.89990234375,4582.2001953125,4658.3232421875,1918.5699462890625,12935.900390625,43434.55078125,16140.33984375,13555.54296875,6970.60009765625,9625.26953125,1333.4200439453125,7794.0498046875,2603.39990234375,8365.8408203125
